--!<g-gps><s-SportClimb>updated<u-URL><d-Database>
-Aini Wall(25.80761474034348,56.15667660441432)!g--
-Al Awabi(Unknown,Unknown)!---
-Al Hamra Towers(Unknown,Unknown)!---
-Aldery Cliff(53.194176,-1.855071)!g--
-Ashwood Dale Ravine(53.2513888888889,-1.89222222222222)-108!gsu
-Bandar Jissah (Unknown,Unknown)!---
-Barracuda Stack(26.07268747736464,56.45576278933846)!g--
-Beerhouse (Devonshire) Buttress(53.250162,-1.881383)!gsu
-Beeston Tor(53.08384700000001,-1.842772)!g--
-Bend in the Road(25.74758989913181,56.2779770249487)!g--
-Birchen(53.245676,-1.583590)-109!g--
-Blackwell Dale(53.252194,-1.802564)!g--
-Blackwell Halt(53.252972,-1.83715)!gsu
-Blue Lagoon - The Bay (Unknown,Unknown)!---
-Blue Lagoon Quarry(53.089841,-1.580115)-110!g--
-Blue Yonder(53.086867,-1.581516)!gsu
-Bowles Rocks(51.076206,0.201984)-111!g--
-Bradwell Dale Quarry(53.323112,-1.740695) (14.7.18)-112!gsu
-Brassington Crag (Unknown,Unknown)-113!---
-Bukha (26.12928901688167, 56.17492560970309)!g--
-Cascade Circus (25.79581683332735,56.17613574210791)!g--
-Castle Naze (53.303171,-1.922631)-115!g--
-Cawdor Quarry (53.140120,-1.572824)!gsu
-Celestial Wall (25.81750671019516,56.15404209826371)!g--
-Chee Dale-Blatant Buttress(53.250153,-1.840166)!gsu
-Chee Dale-Chee Tor(53.256817,-1.815933)-116!gsu
-Cleavage(25.8912,56.1015)!g--
-Colehill Quarry(53.091813,-1.571940)!-gsu
-Commando Slab(Unknown,Unknown)!---
-Conga Line(25.739301589554,56.29874686867554)!g--
-Cowdale(53.245571,-1.876236)-117!gsu
-Crag X (Taddington)(53.233927,-1.752314)-118!gsu
-Crag on 34th Street(24.41428078580597,54.36888201481322)!g--
-Crazy Horse Buttress(18.785432,99.237426)-119!g--
-Cucklett Delph(Unknown,Unknown)-Stoney!---
-Curbar(53.270435,-1.611287)-!g--
-Damien’s Boulders(25.70826720067044,56.24766698723882)!g--
-Darlton (Dalton) Quarry(53.277554,-1.673522)-Stoney-121!gsu
xxxDarlton (Dalton) Two(53.277649,-1.684647)-Stoney-122!xxx
-Deep Dale(53.242690,-1.852601)-123!gsu
-Dhofar(Unknown,Unknown)!---
-DibbaDWS(Unknown,Unknown)!---
-Dickinadozer(25.8857,56.1069)!g--
-Disk World(25.81222129657417,56.04333333333333)!g--
-Ergonomic Buttress(53.088972,-1.793461)-124!gsu
-Farside(Unknown,Unknown)!---
-Five O'Clock Slab(Unknown,Unknown)!---
-Froggatt(53.281906,-1.625922)-125!g--
-Gen’s Cave(25.80749884841054,56.36943531774867)!g--
-Goddards Quarry(53.276877,-1.664500)-Stoney-126!gsu
-Golden Stack(26.0842497225078,56.42572359707922)!g--
-Golden Wall(53.279977,-1.679025)-Stoney-127!gsu
-Greyskull Canyon(25.92610323355265,56.07317405308449)!---
-Hadash(Unknown,Unknown)!---
-HallDale (Helicopter) Quarry(53.137544,-1.570113) (updated 11.12.16)-128!gsu
-Harborough Rocks(53.093005, -1.638353)-129!g--
-Harpur Hill(53.233286,-1.907669)!gsu
-Hatta Crag(24.89816937674686,55.93569900544698)!g--
-Hidden (Darlton Two)Quarry(53.277649,-1.684647)-Stoney-122!gsu
-High Tor(53.127284,-1.557968)-130!gsu
-Hilti Crag(Unknown,Unknown)!---
-Horse Thief Quarry(53.279222, -1.684672)-Stoney-131!gsu
-Horseshoe Quary(53.282035,-1.688921)-Stoney-!gsu
-Igor(25.60803682299724,56.14459122293881)!g--
